Original Genotype ID,2020 Mote ID,MR DNA ID,Genotype,Outlier,Collection & Preservation Date,Species,Reef Name,Lat,Long,Region,Original Collection Date,Baums MSAT clonal ID,Comments/dates when corals introduced to nursery,Date Introduced into Nursery,Max Years Spent in Nursery,Max Years Spent from Original Collection,,,,,,,,,,,,,,,,,,,# previously collected =,#REF!
CU-69,C-U-69,CU69.17,69.17,No,11/13/2019,cervicornis,"Lower Matecumbe, Steph",24.81532,-80.66442,Upper Keys,2/2/2011,C1493,received 7/15/15 - lost summer 2015 - replaced 12/9/15,12/9/2015,3.929,8.778,,,,,,,,,,,,,,,,,,,,
CU-70,C-U-70,CU70.1,70.1,Yes,11/13/2019,cervicornis,Patch Reef inshore from Molasses Trench (Katie),25.01265,-80.40675,Upper Keys,9/26/2010,C1248,received 7/15/15 - lost summer 2015 - replaced 12/9/15,12/9/2015,3.929,9.131,,,,,,,,,,,,,,,,,,,,
CU-76,C-U-76,CU76,76,No,12/13/2019,cervicornis,Lower Matecumbe,24.82163,-80.65608,Upper Keys,6/14/2011,C1500,received 6/14/16,6/14/2016,3.496,8.498,,,,,,,,,,,,,,,,,,,,
CU-79,C-U-79,CU79,79,Yes,12/13/2019,cervicornis,Fragment brought in by Bill Precht in June of 2009,25.13985,-80.29458,Upper Keys,6/29/2009,C1489,received 6/14/16,6/14/2016,3.496,10.456,,,,,,,,,,,,,,,,,,,,
CU-80,C-U-80,CU80.20,80.2,Yes,11/13/2019,cervicornis,Shallow patch reef near U10,25.0208,-80.40085,Upper Keys,10/8/2014,C1503,received 6/14/16,6/14/2016,3.414,5.098,,,,,,,,,,,,,,,,,,,,
FM-4,F-M-4,,,No,12/13/2019,cervicornis,Washerwoman,24.66427,-81.07655,Middle Keys,4/28/2010,C1397,received 6/3/16,6/3/2016,3.526,9.626,,,,,,,,,,,,,,,,,,,,
FM-5,F-M-5,,,No,12/13/2019,cervicornis,near Coffin's Patch,24.70217,-80.93867,Middle Keys,3/18/2010,C1406,received 6/3/16,6/3/2016,3.526,9.739,,,,,,,,,,,,,,,,,,,,
FM-6,F-M-6,,,No,12/13/2019,cervicornis,near Coffin's Patch,24.70217,-80.93867,Middle Keys,3/18/2010,C1406,received 4/20/15 - lost summer 2015,,,9.739,,,,,,,,,,,,,,,,,,,,
FM-7,F-M-7,,,No,12/13/2019,cervicornis,Jeff's Patch near Coffin's Patch,24.69767,-80.9581,Middle Keys,3/18/2010,C1398,received 6/3/16,6/3/2016,3.526,9.739,,,,,,,,,,,,,,,,,,,,
FM-9,F-M-9,,,No,12/13/2019,cervicornis,Washerwoman,24.66427,-81.07655,Middle Keys,4/28/2010,C1397,received 4/20/15 - lost summer 2015,,,9.626,,,,,,,,,,,,,,,,,,,,
FM-12,F-M-12,,,No,12/13/2019,cervicornis,"East of Sombrero, collected 3 samples from the same reef, M-10, M-11, M-12",24.63965,-81.0662,Middle Keys,5/6/2010,C1401,,,,9.604,,,,,,,,,,,,,,,,,,,,
FM-13,F-M-13,,,No,12/13/2019,cervicornis,Jeff's Patch near Coffin's Patch,24.69767,-80.9581,Middle Keys,5/5/2010,C1408,received 4/20/15 - lost summer 2015 - received 6/3/16,6/3/2016,3.526,9.607,,,,,,,,,,,,,,,,,,,,
FM-14,F-M-14,,,No,12/13/2019,cervicornis,Jeff's Patch near Coffin's Patch,24.69756,-80.95852,Middle Keys,5/5/2010,C1407,received 4/20/15 - lost summer 2015 - received 6/3/16,6/3/2016,3.526,9.607,,,,,,,,,,,,,,,,,,,,
FM-18,F-M-18,,,No,12/13/2019,cervicornis,Off Long Key,24.77885,-80.7349,Middle Keys,4/20/2010,C1403,received 4/20/15 - lost summer 2015 - received 6/3/16,6/3/2016,3.526,9.648,,,,,,,,,,,,,,,,,,,,
FM-19,F-M-19,,,No,12/13/2019,cervicornis,Off Long Key,24.7763,-80.73651,Middle Keys,4/20/2010,C1404,received 4/20/15 - lost summer 2015 - received 6/3/16,6/3/2016,3.526,9.648,,,,,,,,,,,,,,,,,,,,
FM-20,F-M-20,,,No,12/13/2019,cervicornis,Off Long Key,24.77885,-80.7349,Middle Keys,4/20/2010,C1396,received 4/20/15 - did not survive summer 2015 - received 6/3/16,6/3/2016,3.526,9.648,,,,,,,,,,,,,,,,,,,,
FM-21,F-M-21,,,No,12/13/2019,cervicornis,no data,24.75825,-80.76598,Middle Keys,1/19/2011,no data,,,,8.898,,,,,,,,,,,,,,,,,,,,
